id,url,header,endereço,area,comodos,banheiros,garagens,extras,preço,condomínio,Bairro,Retirado em
https://www.vivareal.com.br/imoveis-lancamento/benvivere-residencial-2457145549,https://www.vivareal.com.br/imoveis-lancamento/benvivere-residencial-2457145549/,Benvivere Residencial,"Rua Siqueira Campos, 55 - Santa Rosa, Niterói - RJ",81-189,2-3 Quartos,2-4 Banheiros,1 Vaga,,R$ 560.000,,Lagoa,2021-04-14 11:14
2515941212,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-110m2-venda-RS1999000-id-2515941212/,"Apartamento com 3 Quartos à Venda, 110m²","Lagoa, Rio de Janeiro - RJ",110,3 Quartos,3 Banheiros,1 Vaga,Interfone,R$ 1.999.000,R$ 1.450,Lagoa,2021-04-14 11:14
2516664074,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-70m2-venda-RS1200000-id-2516664074/,"Apartamento com 2 Quartos à Venda, 70m²","Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",70,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.200.000,R$ 1.180,Lagoa,2021-04-14 11:14
2516059326,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-160m2-venda-RS3400000-id-2516059326/,"Apartamento com 4 Quartos à Venda, 160m²","Lagoa, Rio de Janeiro - RJ",160,4 Quartos,3 Banheiros,2 Vagas,"Piscina
Varanda
Churrasqueira
Elevador
Academia",R$ 3.400.000,R$ 2.600,Lagoa,2021-04-14 11:14
2497439779,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-388m2-venda-RS5000000-id-2497439779/,Apartamento com 4 Quartos para Venda/Aluguel 388m²,"Lagoa, Rio de Janeiro - RJ",388,4 Quartos,4 Banheiros,3 Vagas,"Varanda
Jardim
Interfone
Mais de um andar","R$ 8.000 /mês
R$ 5.000.000",R$ 6.746,Lagoa,2021-04-14 11:14
2500963910,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-225m2-venda-RS5000000-id-2500963910/,"Apartamento com 4 Quartos à Venda, 225m²","Lagoa, Rio de Janeiro - RJ",225,4 Quartos,3 Banheiros,3 Vagas,"Piscina
Varanda
Elevador
Área de serviço
Ar-condicionado",R$ 5.000.000,R$ 4.497,Lagoa,2021-04-14 11:14
2515993747,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-100m2-venda-RS1699000-id-2515993747/,"Apartamento com 2 Quartos à Venda, 100m²","Lagoa, Rio de Janeiro - RJ",100,2 Quartos,3 Banheiros,2 Vagas,"Elevador
Interfone",R$ 1.699.000,R$ 1.020,Lagoa,2021-04-14 11:14
https://www.vivareal.com.br/imoveis-lancamento/vivaz-ramos-2516213566,https://www.vivareal.com.br/imoveis-lancamento/vivaz-ramos-2516213566/,Vivaz Ramos,"Rua João Romariz, 122 - Ramos, Rio de Janeiro - RJ",42-45,1-2 Quartos,1 Banheiro,-- Vaga,Minha Casa Minha Vida,Sob Consulta,,Lagoa,2021-04-14 11:14
2506242580,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-90m2-venda-RS1450000-id-2506242580/,"Apartamento com 3 Quartos à Venda, 90m²","Rua Professor Gastão Bahiana, 496 - Lagoa, Rio de Janeiro - RJ",90,3 Quartos,3 Banheiros,1 Vaga,"Piscina
Mobiliado
Elevador
Condomínio fechado
Playground",R$ 1.450.000,R$ 1.059,Lagoa,2021-04-14 11:14
2459555716,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-123m2-venda-RS2680000-id-2459555716/,"Apartamento com 3 Quartos à Venda, 123m²","Avenida Lineu de Paula Machado - Lagoa, Rio de Janeiro - RJ",123,3 Quartos,2 Banheiros,2 Vagas,"Varanda
Elevador
Área de serviço
Jardim
Armário embutido",R$ 2.680.000,R$ 1.600,Lagoa,2021-04-14 11:14
